Academic Period,Course,Course Section,Section Status,Semester Hours,Instructors,Meeting Patterns,Current Section Capacity,Enrollment Count,Waitlist Count,COURSE Capacity,Start Date,End Date,Location 1,Location 1 Capacity,Location 2,Location 2 Capacity,Instructional Format
2023 Fall,CS 100 - Creating Interactive Web Media,CS 100-A - Creating Interactive Web Media,Open,4,David Meyer,TTH | 10:20 - 12:00,30,26,0,30,2023/8/28,2023/12/16,Science Building 372 - PC Classroom,33,,0,Lecture
2023 Fall,CS 104 - Applied Computing,CS 104-A - Applied Computing,waitlist,1,Fernando Pasquini Santos,MWF | 14:45 - 15:50,60,48,0,30,2023/8/28,2023/10/21,North Hall 064 - Classroom,46,,0,Lecture
2023 Fall,CS 104 - Applied Computing,CS 104-B - Applied Computing,Open,1,Fernando Pasquini Santos,MWF | 14:45 - 15:50,34,33,0,30,2023/10/23,2023/12/16,North Hall 064 - Classroom,46,,0,Lecture
2023 Fall,CS 104L - Applied Computing Lab,CS 104L-A - Applied Computing Lab,Open,1,Fernando Pasquini Santos,T | 14:10 - 15:50 | 08/28/2023 - 10/21/2023,30,25,0,24,2023/8/28,2023/10/21,Science Building 354 - Unix Lab,34,,0,Laboratory
2023 Fall,CS 104L - Applied Computing Lab,CS 104L-B - Applied Computing Lab,Open,1,Fernando Pasquini Santos,T | 14:10 - 15:50 | 10/23/2023 - 12/16/2023,34,33,0,24,2023/10/23,2023/12/16,Science Building 354 - Unix Lab,34,,0,Laboratory
2023 Fall,CS 104L - Applied Computing Lab,CS 104L-C - Applied Computing Lab,Open,1,Fernando Pasquini Santos,TH | 14:10 - 15:50 | 08/28/2023 - 10/21/2023,30,23,0,24,2023/8/28,2023/10/21,Science Building 354 - Unix Lab,34,,0,Laboratory
2023 Fall,CS 106 - Introduction to Scientific Computation And Modeling,CS 106-A - Introduction to Scientific Computation And Modeling,Open,3,Ken Arnold,MWF | 13:30 - 14:35,35,30,0,35,2023/8/28,2023/12/16,North Hall 253 - Classroom,35,,0,Lecture
2023 Fall,CS 106L - Introduction to Scientific Computation And Modeling Lab,CS 106L-A - Introduction to Scientific Computation And Modeling Lab,Open,1,Chris Wieringa,TH | 12:15 - 13:55 | 08/28/2023 - 12/16/2023,35,30,0,35,2023/8/28,2023/12/16,Science Building 354 - Unix Lab,34,,0,Laboratory
2023 Fall,CS 108 - Introduction to Computing,CS 108-A - Introduction to Computing,Waitlist,3,Rocky Chang （張蛟川）,MWF | 11:00 - 12:05,30,29,0,30,2023/8/28,2023/12/16,North Hall 253 - Classroom,35,,0,Lecture
2024 Spring,CS 108 - Introduction to Computing,CS 108-A - Introduction to Computing,Open,3,Fernando Pasquini Santos,MWF | 8:00 - 9:05,30,0,0,30,2024/1/16,2024/5/4,North Hall 253 - Classroom,35,,0,Lecture
2023 Fall,CS 108 - Introduction to Computing,CS 108-B - Introduction to Computing,Open,3,Rocky Chang （張蛟川）,MWF | 12:15 - 13:20,30,25,1,30,2023/8/28,2023/12/16,North Hall 253 - Classroom,35,,0,Lecture
2024 Spring,CS 108 - Introduction to Computing,CS 108-B - Introduction to Computing,Open,3,Rocky Chang （張蛟川）,MWF | 9:15 - 10:20,30,0,0,30,2024/1/16,2024/5/4,North Hall 253 - Classroom,35,,0,Lecture
2023 Fall,CS 108L - Intro to Computing Lab,CS 108L-A - Intro to Computing Lab,Open,1,Rocky Chang （張蛟川）,TH | 8:00 - 9:40 | 08/28/2023 - 12/16/2023,30,28,0,30,2023/8/28,2023/12/16,Science Building 354 - Unix Lab,34,,0,Laboratory
2024 Spring,CS 108L - Intro to Computing Lab,CS 108L-A - Intro to Computing Lab,Open,1,Fernando Pasquini Santos,TH | 8:00 - 9:40 | 01/16/2024 - 05/04/2024,30,0,0,30,2024/1/16,2024/5/4,Science Building 354 - Unix Lab,34,,0,Laboratory
2023 Fall,CS 108L - Intro to Computing Lab,CS 108L-B - Intro to Computing Lab,Open,1,Rocky Chang （張蛟川）,TH | 10:20 - 12:00 | 08/28/2023 - 12/16/2023,30,26,0,30,2023/8/28,2023/12/16,Science Building 354 - Unix Lab,34,,0,Laboratory
2024 Spring,CS 108L - Intro to Computing Lab,CS 108L-B - Intro to Computing Lab,Open,1,Rocky Chang （張蛟川）,TH | 10:20 - 12:00 | 01/16/2024 - 05/04/2024,30,0,0,30,2024/1/16,2024/5/4,Science Building 354 - Unix Lab,34,,0,Laboratory
2023 Fall,CS 112 - Introduction to Data Structures,CS 112-A - Introduction to Data Structures,Open,3,Victor Norman,MWF | 11:00 - 12:05,30,14,0,30,2023/8/28,2023/12/16,Science Building 382 - Classroom,30,,0,Lecture
2024 Spring,CS 112 - Introduction to Data Structures,CS 112-A - Introduction to Data Structures,Open,3,Derek Schuurman,MWF | 11:00 - 12:05,30,0,0,30,2024/1/16,2024/5/4,North Hall 064 - Classroom,46,,0,Lecture
2023 Fall,CS 112 - Introduction to Data Structures,CS 112-B - Introduction to Data Structures,Open,3,Victor Norman,MWF | 12:15 - 13:20,30,23,0,30,2023/8/28,2023/12/16,Science Building 382 - Classroom,30,,0,Lecture
2024 Spring,CS 112 - Introduction to Data Structures,CS 112-B - Introduction to Data Structures,Open,3,Victor Norman,MWF | 12:15 - 13:20,30,0,0,30,2024/1/16,2024/5/4,Science Building 343,60,,0,Lecture
2023 Fall,CS 112L - Intro to Data Structures Lab,CS 112L-A - Intro to Data Structures Lab,Open,1,Chris Wieringa,T | 8:00 - 9:40 | 08/28/2023 - 12/16/2023,30,20,0,30,2023/8/28,2023/12/16,Science Building 354 - Unix Lab,34,,0,Laboratory
2024 Spring,CS 112L - Intro to Data Structures Lab,CS 112L-A - Intro to Data Structures Lab,Open,1,Derek Schuurman,,30,0,0,30,2024/1/16,2024/5/4,Science Building 354 - Unix Lab,34,,0,Laboratory
2023 Fall,CS 112L - Intro to Data Structures Lab,CS 112L-B - Intro to Data Structures Lab,Open,1,Chris Wieringa,T | 10:20 - 12:00 | 08/28/2023 - 12/16/2023,30,17,0,30,2023/8/28,2023/12/16,Science Building 354 - Unix Lab,34,,0,Laboratory
2024 Spring,CS 112L - Intro to Data Structures Lab,CS 112L-B - Intro to Data Structures Lab,Open,1,Victor Norman,T | 10:20 - 12:00 | 01/16/2024 - 05/04/2024,30,0,0,30,2024/1/16,2024/5/4,Science Building 354 - Unix Lab,34,,0,Laboratory
2023 Fall,CS 195 - Introductory Computing Seminar,CS 195-A - Introductory Computing Seminar,Waitlist,0,Harry Plantinga,T | 15:05 - 15:55 | 08/28/2023 - 12/16/2023,90,91,1,60,2023/8/28,2023/12/16,Science Building 010 - Lecture Hall,182,,0,Seminar
2024 Spring,CS 195 - Introductory Computing Seminar,CS 195-A - Introductory Computing Seminar,Open,0,Harry Plantinga,T | 15:05 - 15:55 | 01/16/2024 - 05/04/2024,60,0,0,60,2024/1/16,2024/5/4,Science Building 010 - Lecture Hall,182,,0,Seminar
2023 Fall,CS 212 - Data Structures and Algorithms,CS 212-A - Data Structures and Algorithms,Open,4,Harry Plantinga,MWF | 8:00 - 9:05,42,41,0,30,2023/8/28,2023/12/16,North Hall 064 - Classroom,46,,0,Lecture
2023 Fall,CS 212 - Data Structures and Algorithms,CS 212-B - Data Structures and Algorithms,Open,4,Harry Plantinga,MWF | 9:15 - 10:20,42,40,1,30,2023/8/28,2023/12/16,North Hall 064 - Classroom,46,,0,Lecture
