Department,Term,SubjectCode,CourseNum,SectionCode,CourseLevelCode,MinimumCredits,FacultyLoad,BuildingAndRoom,MeetingDays,MeetingTime,SectionStartDate,SectionEndDate,SemesterLength,Building,RoomNumber,MeetingStart,MeetingDurationMinutes,MeetingEnd,ShortTitle,Faculty,SectionStatus,InstructionalMethod,DeliveryMode,Comments,LastEditTimestamp
"Mathematics and Statistics",FA,"*",*,*,,0, 0,"Chapel
Chapel
NH 276","MWF
TTH
TH","10:30AM - 10:50AM
9:50AM - 10:10AM
2:10PM - 3:00PM",,,Full,"Chapel
Chapel
NH","

276","10:30 AM
9:50 AM
2:10 PM","20
20
50","10:50 AM
10:10 AM
3:00 PM","Chapel","*","","","","","2022-11-01T16:12:51-04:00"
"Mathematics and Statistics",SP,"*",*,*,,0, 0,"Chapel
Chapel
NH 276","MWF
TTH
TH","10:30AM - 10:50AM
9:50AM - 10:10AM
2:10PM - 3:00PM",,,Full,"Chapel
Chapel
NH","

276","10:30 AM
9:50 AM
2:10 PM","20
20
50","10:50 AM
10:10 AM
3:00 PM","Dept Meeting","*","","","","","2022-11-02T20:47:42-04:00"
"Mathematics and Statistics",FA,"CORE",100,A,100,2, 2,"NH New Room","MWF","11:00AM - 12:05PM",,,First,"NH New","Room","11:00 AM","65","12:05 PM","","Dr. Stacy Lynn De Ruiter","","","","","2022-12-07T21:00:19-05:00"
"Mathematics and Statistics",FA,"CORE",100,A,100,2, 2,"NH 251","MWF","12:15PM - 1:20PM",,,First,"NH","251","12:15 PM","65","1:20 PM","","Nathan S Sunukjian","","","","","2022-12-07T21:18:31-05:00"
"Mathematics and Statistics",SP,"DATA",302,A,300,2, 2,"","","",,,First,"","","","","","Visulizing Data and Models","Dr. Randall J Pruim","","LEC","","","2022-11-02T20:30:41-04:00"
"Mathematics and Statistics",FA,"DATA",545,A,500,4, 4,"","","",,,Full,"","","","","","Applied Regression","Dr. Stacy Lynn De Ruiter","","","Online asynchronous","","2022-12-06T14:41:08-05:00"
"Mathematics and Statistics",FA,"DATA",555,A,500,2, 2,"","","",,,First,"","","","","","Linear Algebra for Data Science","Dr. Randall J Pruim","","","Online asynchronous","","2022-12-06T14:34:29-05:00"
"Mathematics and Statistics",FA,"DATA",640,A,600,2, 2,"","","",,,Second,"","","","","","Cause and Design","Dr. Randall J Pruim","","","Online asynchronous","","2022-12-06T14:31:43-05:00"
"Mathematics and Statistics",FA,"DATA",642,A,600,2, 2,"","","",,,Second,"","","","","","Optimization","Dr. Stacy Lynn De Ruiter","","","Online asynchronous","","2022-12-06T15:03:35-05:00"
"Mathematics and Statistics",FA,"MATH",100,A,100,4, 4,"NH 276","MWF","11:00AM - 12:05PM",,,Full,"NH","276","11:00 AM","65","12:05 PM","Math in the Contemporary World","Dr. Christopher G. Moseley","","","","","2022-12-07T21:32:06-05:00"
"Mathematics and Statistics",FA,"MATH",110,A,100,2, 2,"NH 251","MWF","12:15PM - 1:20PM",,,Second,"NH","251","12:15 PM","65","1:20 PM","Pre-Calculus","Dr. R John Ferdinands","","","","","2022-12-07T21:26:28-05:00"
"Mathematics and Statistics",SP,"MATH",132,A,100,4, 4,"NH 276","TTH","12:15PM - 1:55PM",,,Full,"NH","276","12:15 PM","100","1:55 PM","Calc for Mgt, Life, & Soc Sci","Dr. Michael David Bolt","","LEC","","","2022-11-03T11:20:13-04:00"
"Mathematics and Statistics",FA,"MATH",171,A,100,4, 4,"NH 276","MWF","8:00AM - 9:05AM",,,Full,"NH","276","8:00 AM","65","9:05 AM","Calculus I","Dr. Michael David Bolt","","LEC","","","2022-11-02T21:27:02-04:00"
"Mathematics and Statistics",SP,"MATH",171,A,100,4, 4,"NH 276","MWF","12:15PM - 1:20PM",,,Full,"NH","276","12:15 PM","65","1:20 PM","Calculus I","Dr. Christopher G. Moseley","","","","","2022-12-07T20:42:03-05:00"
"Mathematics and Statistics",FA,"MATH",171,B,100,4, 4,"NH 259","MWF","12:15PM - 1:20PM",,,Full,"NH","259","12:15 PM","65","1:20 PM","Calculus I","Dr. Todd M. Kapitula","","","","","2022-12-07T21:16:53-05:00"
"Mathematics and Statistics",FA,"MATH",171,C,100,4, 4,"NH 276","MWF","9:15AM - 10:20AM",,,Full,"NH","276","9:15 AM","65","10:20 AM","Calculus I","Dr. Michael David Bolt","","LEC","","","2022-11-03T13:57:14-04:00"
"Mathematics and Statistics",FA,"MATH",171,D,100,4, 4,"NH 251","MWF","11:00AM - 12:05PM",,,Full,"NH","251","11:00 AM","65","12:05 PM","Calculus I","Dr. R John Ferdinands","","","","","2022-12-07T21:32:00-05:00"
"Mathematics and Statistics",FA,"MATH",171,E,100,4, 4,"NH 276","MWF","12:15PM - 1:20PM",,,Full,"NH","276","12:15 PM","65","1:20 PM","Calculus I","Dr. Christopher G. Moseley","","","","","2022-12-07T21:31:31-05:00"
"Mathematics and Statistics",FA,"MATH",172,A,100,4, 4,"NH 251","MWF","8:00AM - 9:05AM",,,Full,"NH","251","8:00 AM","65","9:05 AM","Calculus II","Dr. R John Ferdinands","","","","","2022-12-07T21:09:06-05:00"
"Mathematics and Statistics",SP,"MATH",172,B,100,4, 4,"NH 295","MWF","1:30PM - 2:35PM",,,Full,"NH","295","1:30 PM","65","2:35 PM","Calculus II","Dr. James Michael Turner","","","","","2022-12-07T20:43:10-05:00"
"Mathematics and Statistics",SP,"MATH",172,C,100,4, 4,"NH 276","MWF","2:45PM - 3:50PM",,,Full,"NH","276","2:45 PM","65","3:50 PM","Calculus II","Dr. James Michael Turner","","","","","2022-12-07T20:43:44-05:00"
"Mathematics and Statistics",SP,"MATH",172,D,100,4, 4,"NH 295","MWF","2:45PM - 3:50PM",,,Full,"NH","295","2:45 PM","65","3:50 PM","Calculus II","Dr. Todd M. Kapitula","","","","","2022-12-07T20:42:32-05:00"
"Mathematics and Statistics",FA,"MATH",190,A,100,0, 0,"NH 259","W","2:45PM - 3:50PM",,,Full,"NH","259","2:45 PM","65","3:50 PM","First-year Seminar in Math","Dr. Todd M. Kapitula
Dr. Thomas L. Scofield","","","","Move to T?","2022-12-07T21:32:57-05:00"
"Mathematics and Statistics",FA,"MATH",221,A,200,4, 4,"NH 251","MWF","1:30PM - 2:35PM",,,Full,"NH","251","1:30 PM","65","2:35 PM","Real Nbr Sys/Meth for Elem Sch","Dr. David B. Klanderman","","LEC","","","2022-11-01T15:40:47-04:00"
"Mathematics and Statistics",SP,"MATH",221,B,200,4, 4,"NH 251","MWF","1:30PM - 2:35PM",,,Full,"NH","251","1:30 PM","65","2:35 PM","Real Nbr Sys/Meth for Elem Sch","Dr. David B. Klanderman","","LEC","","","2022-11-01T15:38:23-04:00"
"Mathematics and Statistics",FA,"MATH",222,A,200,4, 4,"NH 251","MWF","2:45PM - 3:50PM",,,Full,"NH","251","2:45 PM","65","3:50 PM","Geometry/Meth for Elem Sch","Dr. David B. Klanderman","","LEC","","","2022-11-01T15:39:15-04:00"
"Mathematics and Statistics",SP,"MATH",222,A,200,4, 4,"NH 251","MWF","2:45PM - 3:50PM",,,Full,"NH","251","2:45 PM","65","3:50 PM","Geometry/Meth for Elem Sch","Dr. David B. Klanderman","","LEC","","","2022-11-01T15:41:01-04:00"
"Mathematics and Statistics",FA,"MATH",231,A,200,4, 4,"NH 251","MWF","9:15AM - 10:20AM",,,Full,"NH","251","9:15 AM","65","10:20 AM","Diff Equ With Linear Algebra","Dr. Todd M. Kapitula","","LEC","","","2022-11-03T14:11:26-04:00"
"Mathematics and Statistics",SP,"MATH",231,A,200,4, 4,"NH 259","MWF","9:15AM - 10:20AM",,,Full,"NH","259","9:15 AM","65","10:20 AM","Diff Equ With Linear Algebra","Dr. Christopher G. Moseley","","","","","2022-12-07T19:35:36-05:00"
"Mathematics and Statistics",SP,"MATH",231,B,200,4, 4,"NH 276","MWF","11:00AM - 12:05PM",,,Full,"NH","276","11:00 AM","65","12:05 PM","Diff Equ With Linear Algebra","Dr. R John Ferdinands","","","","","2022-12-07T20:44:34-05:00"
"Mathematics and Statistics",FA,"MATH",251,A,200,2, 2,"NH 276","MWF","1:30PM - 2:35PM",,,First,"NH","276","1:30 PM","65","2:35 PM","Discrete Mathematics","Dr. Christopher G. Moseley","","","","","2022-12-07T21:27:17-05:00"
"Mathematics and Statistics",FA,"MATH",251,B,200,2, 2,"NH 276","MWF","2:45PM - 3:50PM",,,First,"NH","276","2:45 PM","65","3:50 PM","Discrete Mathematics","Dr. Christopher G. Moseley","","","","","2022-12-07T21:27:39-05:00"
"Mathematics and Statistics",FA,"MATH",252,A,200,2, 2,"NH 276","MWF","1:30PM - 2:35PM",,,Second,"NH","276","1:30 PM","65","2:35 PM","Discrete Math for Computer Sci","Dr. Randall J Pruim","","","","","2022-12-07T21:28:05-05:00"
"Mathematics and Statistics",FA,"MATH",252,B,200,2, 2,"NH 276","MWF","2:45PM - 3:50PM",,,Second,"NH","276","2:45 PM","65","3:50 PM","Discrete Math for Computer Sci","Dr. Randall J Pruim","","","","","2022-12-07T21:28:22-05:00"
"Mathematics and Statistics",FA,"MATH",255,A,200,4, 4,"NH 259","MWF","8:00AM - 9:05AM",,,Full,"NH","259","8:00 AM","65","9:05 AM","Introductory Linear Algebra","Dr. Thomas L. Scofield","","LEC","","","2022-11-03T14:10:55-04:00"
"Mathematics and Statistics",FA,"MATH",271,A,200,4, 4,"NH New Room","MWF","9:15AM - 10:20AM",,,Full,"NH New","Room","9:15 AM","65","10:20 AM","Multivariable Calculus","Nathan S Sunukjian","","LEC","","","2022-11-03T16:48:02-04:00"
"Mathematics and Statistics",SP,"MATH",271,A,200,4, 4,"NH 276","MWF","9:15AM - 10:20AM",,,Full,"NH","276","9:15 AM","65","10:20 AM","Multivariable Calculus","Dr. R John Ferdinands","","LEC","","","2022-11-03T17:14:06-04:00"
"Mathematics and Statistics",FA,"MATH",271,B,200,4, 4,"NH 295","MWF","12:15PM - 1:20PM",,,Full,"NH","295","12:15 PM","65","1:20 PM","Multivariable Calculus","Dr. James Michael Turner","","","","","2022-12-07T21:18:51-05:00"
"Mathematics and Statistics",FA,"MATH",271,C,200,4, 4,"NH 295","MWF","1:30PM - 2:35PM",,,Full,"NH","295","1:30 PM","65","2:35 PM","Multivariable Calculus","Dr. James Michael Turner","","","","","2022-12-07T20:56:12-05:00"
"Mathematics and Statistics",SP,"MATH",301,A,300,4, 4,"NH 259","TTH","12:15PM - 1:55PM",,,Full,"NH","259","12:15 PM","100","1:55 PM","Geometry","Dr. James Michael Turner","","LEC","","","2022-11-02T20:49:23-04:00"
"Mathematics and Statistics",FA,"MATH",323,A,300,2, 3,"NH 251","TTH","10:20AM - 12:00PM",,,Full,"NH","251","10:20 AM","100","12:00 PM","Teaching Math Elem/Middle Sch","Mrs. Jane E Genzink","","LEC","","","2022-11-01T15:38:47-04:00"
"Mathematics and Statistics",SP,"MATH",323,A,300,2, 3,"NH 251","TTH","10:20AM - 12:00PM",,,Full,"NH","251","10:20 AM","100","12:00 PM","Teaching Math Elem/Middle Sch","Mrs. Jane E Genzink","","LEC","","","2022-11-01T16:17:13-04:00"
"Mathematics and Statistics",SP,"MATH",327,A,300,2, 2,"","","",,,Full,"","","","","","","Dr. David B. Klanderman","","LEC","","","2022-11-01T15:49:45-04:00"
"Mathematics and Statistics",FA,"MATH",331,A,300,4, 4,"NH 259","MWF","1:30PM - 2:35PM",,,Full,"NH","259","1:30 PM","65","2:35 PM","Nonlinear Dynamics","Dr. Todd M. Kapitula","","","","","2022-12-07T21:34:37-05:00"
"Mathematics and Statistics",SP,"MATH",351,A,300,4, 4,"NH 261","MWF","12:15PM - 1:20PM",,,Full,"NH","261","12:15 PM","65","1:20 PM","Abstract Algebra","Dr. R John Ferdinands","","","","","2022-12-07T20:40:12-05:00"
"Mathematics and Statistics",SP,"MATH",355,A,300,4, 4,"NH 261","MWF","11:00AM - 12:05PM",,,Full,"NH","261","11:00 AM","65","12:05 PM","Adv Linear Algebra","Dr. Christopher G. Moseley","","","","","2022-12-07T20:40:43-05:00"
"Mathematics and Statistics",FA,"MATH",361,A,300,4, 4,"NH 261","MWF","12:15PM - 1:20PM",,,Full,"NH","261","12:15 PM","65","1:20 PM","Real Analysis I","Dr. Michael David Bolt","","","","","2022-12-07T21:16:24-05:00"
"Mathematics and Statistics",SP,"MATH",365,A,300,4, 4,"NH 259","MWF","8:00AM - 9:05AM",,,Full,"NH","259","8:00 AM","65","9:05 AM","Complex Variables","Dr. Michael David Bolt","","LEC","","","2022-10-25T13:30:32-04:00"
"Mathematics and Statistics",SP,"MATH",385,A,300,4, 4,"NH 261","MWF","9:15AM - 10:20AM",,,Full,"NH","261","9:15 AM","65","10:20 AM","Topics in Mathematics","Nathan S Sunukjian","","","","","2022-12-07T19:18:25-05:00"
"Mathematics and Statistics",FA,"MATH",391,A,300,0, 1,"NH 276","TH","3:05PM - 3:55PM",,,Full,"NH","276","3:05 PM","50","3:55 PM","Colloquium","Dr. R John Ferdinands","","","","Refreshments will begin before 3:00 so talks can begin at 3.","2022-12-07T19:34:00-05:00"
"Mathematics and Statistics",SP,"MATH",391,A,300,0, 1,"NH 276","TH","3:05PM - 3:55PM",,,Full,"NH","276","3:05 PM","50","3:55 PM","Colloquium","Dr. R John Ferdinands","","","","","2022-12-07T19:34:17-05:00"
"Mathematics and Statistics",FA,"MGMT",535,A,500,3, 3,"","","",,,First,"","","","","","Statistical Analysis","Dr. Randall J Pruim","","","Online asynchronous","","2022-12-06T14:28:12-05:00"
"Mathematics and Statistics",SP,"PUBH",504,A,500,3, 3,"","","",,,Second,"","","","","","Biostatistics","Dr. Stacy Lynn De Ruiter","","","Online asynchronous","","2022-12-06T14:57:31-05:00"
"Mathematics and Statistics",FA,"STAT",143,A,100,4, 4,"NH 295","MWF","8:00AM - 9:05AM",,,Full,"NH","295","8:00 AM","65","9:05 AM","Probability and Statistics","Mrs. Pamela Lou Plantinga","","LEC","","","2022-10-25T13:14:53-04:00"
"Mathematics and Statistics",SP,"STAT",143,A,100,4, 4,"NH 295","MWF","8:00AM - 9:05AM",,,Full,"NH","295","8:00 AM","65","9:05 AM","Probability and Statistics","Mrs. Pamela Lou Plantinga","","LEC","","","2022-10-25T13:38:07-04:00"
"Mathematics and Statistics",FA,"STAT",143,B,100,4, 4,"NH 295","MWF","9:15AM - 10:20AM",,,Full,"NH","295","9:15 AM","65","10:20 AM","Probability and Statistics","Mrs. Pamela Lou Plantinga","","LEC","","","2022-10-25T13:15:08-04:00"
"Mathematics and Statistics",SP,"STAT",143,B,100,4, 4,"NH 295","MWF","9:15AM - 10:20AM",,,Full,"NH","295","9:15 AM","65","10:20 AM","Probability and Statistics","Mrs. Pamela Lou Plantinga","","LEC","","","2022-10-25T13:45:37-04:00"
"Mathematics and Statistics",SP,"STAT",143,C,100,4, 4,"NH 295","MWF","11:00AM - 12:05PM",,,Full,"NH","295","11:00 AM","65","12:05 PM","Probability and Statistics","Nathan S Sunukjian","","LEC","","","2022-10-25T13:39:23-04:00"
"Mathematics and Statistics",FA,"STAT",143,D,100,4, 4,"NH 295","MWF","11:00AM - 12:05PM",,,Full,"NH","295","11:00 AM","65","12:05 PM","Probability and Statistics","Dr. David B. Klanderman","","LEC","","","2022-11-02T22:00:58-04:00"
"Mathematics and Statistics",SP,"STAT",143,D,100,4, 4,"NH 295","MWF","12:15PM - 1:20PM",,,Full,"NH","295","12:15 PM","65","1:20 PM","Probability and Statistics","Nathan S Sunukjian","","LEC","","","2022-10-25T13:38:39-04:00"
"Mathematics and Statistics",FA,"STAT",143,E,100,4, 4,"NH 295","TTH","2:10PM - 3:50PM",,,Full,"NH","295","2:10 PM","100","3:50 PM","Probability and Statistics","Tim Pennings","","","","","2022-12-07T21:36:46-05:00"
"Mathematics and Statistics",SP,"STAT",143,E,100,4, 4,"NH 295","TTH","10:20AM - 12:00PM",,,Full,"NH","295","10:20 AM","100","12:00 PM","Probability and Statistics","Dr. Michael David Bolt","","LEC","","","2022-11-03T17:15:07-04:00"
"Mathematics and Statistics",FA,"STAT",145,A,100,4, 4,"NH 259","MWF","9:15AM - 10:20AM",,,Full,"NH","259","9:15 AM","65","10:20 AM","Biostatistics","Dr. Thomas L. Scofield","","LEC","","","2022-11-03T14:11:12-04:00"
"Mathematics and Statistics",SP,"STAT",145,A,100,4, 4,"NH 251","MWF","9:15AM - 10:20AM",,,Full,"NH","251","9:15 AM","65","10:20 AM","Biostatistics","Dr. Thomas L. Scofield","","","","","2022-12-07T19:35:49-05:00"
"Mathematics and Statistics",SP,"STAT",241,A,200,2, 2,"NH 259","MWF","12:15PM - 1:20PM",,,First,"NH","259","12:15 PM","65","1:20 PM","Engineering Statistics","Dr. Todd M. Kapitula","","LEC","","","2022-10-25T13:40:21-04:00"
"Mathematics and Statistics",SP,"STAT",241,B,200,2, 2,"NH 259","MWF","12:15PM - 1:20PM",,,Second,"NH","259","12:15 PM","65","1:20 PM","Engineering Statistics","Dr. Todd M. Kapitula","","LEC","","","2022-10-25T13:40:34-04:00"
"Mathematics and Statistics",SP,"STAT",243,A,200,4, 4,"NH 259","MWF","11:00AM - 12:05PM",,,Full,"NH","259","11:00 AM","65","12:05 PM","Statistics","Dr. Thomas L. Scofield","","LEC","","","2022-10-25T13:33:43-04:00"
