Department,Term,SubjectCode,CourseNum,SectionCode,CourseLevelCode,MinimumCredits,FacultyLoad,BuildingAndRoom,MeetingDays,MeetingTime,SectionStartDate,SectionEndDate,SemesterLength,Building,RoomNumber,MeetingStart,MeetingDurationMinutes,MeetingEnd,ShortTitle,Faculty,SectionStatus,InstructionalMethod,DeliveryMode,Comments,LastEditTimestamp
"",FA,"",,,,0, 0.5,"","","",,,Full,"","","","","","","Victor T. Norman","","1 CS 396/398 project","","","2021-11-13T15:52:41-05:00"
"",FA,"",,,,0, 0.5,"","","",,,Full,"","","","","","","Derek C Schuurman","","1 CS 396/398 project","","","2021-11-13T15:52:53-05:00"
"",FA,"",,,,0, 0.5,"","","",,,Full,"","","","","","","Keith Vander Linden","","1 CS 396/398 project","","","2021-11-13T15:53:17-05:00"
"",FA,"",,,,0, 0.5,"","","",,,Full,"","","","","","","Kenneth C Arnold","","1 CS 396/398 project","","","2021-11-13T15:53:33-05:00"
"",FA,"",,,,0, 1,"","","",,,Full,"","","","","","","Harry Plantinga","","2 CS 396/398 projects","","","2022-06-09T14:12:25-04:00"
"",FA,"",,,,0, 12,"","","",,,Full,"","","","","","","Harry Plantinga","","CCEL","","","2022-06-09T14:12:46-04:00"
"",FA,"",,,,0, 7,"","","",,,Full,"","","","","","","Keith Vander Linden","","Chair","","","2022-06-10T14:59:34-04:00"
"",FA,"",,,,0, 3,"","","",,,Full,"","","","","","","Derek C Schuurman","","CRF","","","2022-06-13T09:03:37-04:00"
"",SP,"",,,,0, 6,"","","",,,Full,"","","","","","","Kenneth C Arnold","","CRF","","","2021-11-13T11:39:21-05:00"
"",SP,"",,,,0, 3,"","","",,,Full,"","","","","","","Kenneth C Arnold","","Faith & Learning Fellows","","","2022-06-09T12:57:09-04:00"
"Accounting",SP,"ACCT",545,A,500,3, 3,"","","",,,Full,"","","","","","Accounting Systems","Patrick Bailey","Active","LEC","","Taught for BUS/ACCT",""
"Business",SP,"INFO",601,A,600,3, 3,"","","",,,Second,"","","","","","Data Wrangling","Keith Vander Linden","Active","LEC","","Taught for MBA",""
"Business",SU,"INFO",602,A,600,3, 3,"","","",,,First,"","","","","","Predictive Analytics","Kenneth C Arnold","Active","LEC","","Taught for MBA",""
"Business",SU,"INFO",603,A,600,3, 3,"","","",,,Second,"","","","","","Data Visualization","Patrick Bailey","Active","LEC","","Taught for MBA",""
"Computer Science",FA,"CS",100,A,100,3, 3,"SB 372","TTH","11:00AM - 12:15PM",,,Full,"SB","372","11:00 AM","75","12:15 PM","Creating Interactive Web Media","David Meyer","Active","LEC","","","2022-03-03T16:30:46-05:00"
"Computer Science",FA,"CS",104,A,100,2, 2,"SB 337
NH 253","TH
T","9:05AM - 10:20AM
9:05AM - 10:20AM",,,Full,"SB
NH","337
253","9:05 AM
9:05 AM","75
75","10:20 AM
10:20 AM","Applied Computing","Derek C Schuurman","Active","LEC","","","2021-11-13T14:23:49-05:00"
"Computer Science",FA,"CS",104,B,100,2, 2,"SB 337
NH 253","TH
T","11:00AM - 12:15PM
11:00AM - 12:15PM",,,Full,"SB
NH","337
253","11:00 AM
11:00 AM","75
75","12:15 PM
12:15 PM","Applied Computing ","Derek C Schuurman","Active","LEC","","","2021-11-13T14:23:54-05:00"
