Department,Term,SubjectCode,CourseNum,SectionCode,CourseLevelCode,MinimumCredits,FacultyLoad,BuildingAndRoom,MeetingDays,MeetingTime,SectionStartDate,SectionEndDate,SemesterLength,Building,RoomNumber,MeetingStart,MeetingDurationMinutes,MeetingEnd,ShortTitle,Faculty,SectionStatus,InstructionalMethod,DeliveryMode,Group,Comments,LastEditTimestamp
"CS",FA,"CS",100,A ,100,4, 4,"Science Building 372","TTH","10:20AM - 12:00PM",2023/8/28,2023/12/16,A,"Science Building","372","10:20 AM","100","12:00 PM"," Creating Interactive Web Media","David Meyer","Open","","","","",""
"CS",FA,"CS",104,A ,100,1, 1,"North Hall 064","MWF","2:45PM - 3:50PM",2023/8/28,2023/10/21,A,"North Hall","064","2:45 PM","65","3:50 PM"," Applied Computing","Fernando Pasquini Santos","waitlist","","","","",""
"CS",FA,"CS",104,B ,100,1, 1,"North Hall 064","MWF","2:45PM - 3:50PM",2023/10/23,2023/12/16,A,"North Hall","064","2:45 PM","65","3:50 PM"," Applied Computing","Fernando Pasquini Santos","Open","","","","",""
"CS",FA,"CS",104L,A ,100,1, 1,"Science Building 354","T","2:10PM - 3:50PM",2023/8/28,2023/10/21,A,"Science Building","354","2:10 PM","100","3:50 PM"," Applied Computing Lab","Fernando Pasquini Santos","Open","","","","",""
"CS",FA,"CS",104L,B ,100,1, 1,"Science Building 354","T","2:10PM - 3:50PM",2023/10/23,2023/12/16,A,"Science Building","354","2:10 PM","100","3:50 PM"," Applied Computing Lab","Fernando Pasquini Santos","Open","","","","",""
"CS",FA,"CS",104L,C ,100,1, 1,"Science Building 354","TH","2:10PM - 3:50PM",2023/8/28,2023/10/21,A,"Science Building","354","2:10 PM","100","3:50 PM"," Applied Computing Lab","Fernando Pasquini Santos","Open","","","","",""
"CS",FA,"CS",106,A ,100,3, 3,"North Hall 253","MWF","1:30PM - 2:35PM",2023/8/28,2023/12/16,A,"North Hall","253","1:30 PM","65","2:35 PM"," Introduction to Scientific Computation And Modeling","Ken Arnold","Open","","","","",""
"CS",FA,"CS",106L,A ,100,1, 1,"Science Building 354","TH","12:15PM - 1:55PM",2023/8/28,2023/12/16,A,"Science Building","354","12:15 PM","100","1:55 PM"," Introduction to Scientific Computation And Modeling Lab","Chris Wieringa","Open","","","","",""
"CS",FA,"CS",108,A ,100,3, 3,"North Hall 253","MWF","11:00AM - 12:05PM",2023/8/28,2023/12/16,A,"North Hall","253","11:00 AM","65","12:05 PM"," Introduction to Computing","Rocky Chang ï¼å¼µèå·ï¼","Waitlist","","","","",""
"CS",SP,"CS",108,A ,100,3, 3,"North Hall 253","MWF","8:00AM - 9:05AM",2024/1/16,2024/5/4,A,"North Hall","253","8:00 AM","65","9:05 AM"," Introduction to Computing","Fernando Pasquini Santos","Open","","","","",""
