Department,Term,SubjectCode,CourseNum,SectionCode,CourseLevelCode,MinimumCredits,FacultyLoad,BuildingAndRoom,MeetingDays,MeetingTime,SectionStartDate,SectionEndDate,SemesterLength,Building,RoomNumber,MeetingStart,MeetingDurationMinutes,MeetingEnd,ShortTitle,Faculty,SectionStatus,InstructionalMethod,DeliveryMode,Group,Comments,LastEditTimestamp
"",FA,"",,,,0, 4,"","","",,,Full,"","","","","","","Eric Araujo","","Kuiper Seminar","","","","2024-04-29T16:50:27-04:00"
"",FA,"",,,,0, 4,"","","",,,Full,"","","","","","","Fernando Pasquini Santos","","CRF","","","","2024-04-29T18:06:54-04:00"
"",FA,"",,,,0, 2,"","","",,,Full,"","","","","","","Derek C Schuurman","","2 CS 396/8 projects","","","","2024-09-18T12:39:37-04:00"
"",FA,"",,,,0, 2,"","","",,,Full,"","","","","","","Kenneth C Arnold","","2 CS 396/398 projects","","","","2024-09-18T12:42:15-04:00"
"",FA,"",,,,0, 8,"","","",,,Full,"","","","","","","Derek C Schuurman","","Legacy CRF","","","","2024-09-18T12:43:20-04:00"
"",FA,"",,,,0, 2,"","","",,,Full,"","","","","","","Harry Plantinga","","2 CS 396/8 projects","","","","2024-10-02T10:36:03-04:00"
"",FA,"",,,,0, 2,"","","",,,Full,"","","","","","","Keith VanderLinden","","2 CS 396/8 projects","","","","2024-10-24T16:03:53-04:00"
"",FA,"",,,,0, 12,"","","",,,Full,"","","","","","","Harry Plantinga","","CCEL","","","","2024-10-24T16:54:53-04:00"
"",FA,"",,,,0, 2,"","","",,,Full,"","","","","","","Eric Araujo","","2 CS 396/8 projects","","","","2024-10-26T11:42:56-04:00"
"",FA,"",,,,0, 2,"","","",,,Full,"","","","","","","Rocky Chang","","2 CS 396/8 projects","","","","2024-10-26T12:04:04-04:00"
"",FA,"",,,,0, 2,"","","",,,Full,"","","","","","","Keith VanderLinden","","Chair","","","","2024-11-09T13:32:14-05:00"
"",FA,"",,,,0, 5,"","","",,,Full,"","","","","","","Kenneth C Arnold","","NSF","","","","2024-11-11T18:37:42-05:00"
"",FA,"",,,,0, 2,"","","",,,Full,"","","","","","","Fernando Pasquini Santos","","2 CS 396/8 projects","","","","2024-11-12T16:58:35-05:00"
"",SP,"",,,,0, 2,"","","",,,Full,"","","","","","","Victor T. Norman","","2 Senior Project Teams","","","","2024-11-07T13:19:45-05:00"
"",SP,"",,,,0, 4,"","","",,,Full,"","","","","","","Rocky Chang","","CRF","","","","2024-11-09T13:22:51-05:00"
"",SP,"",,,,0, 4,"","","",,,Full,"","","","","","","Derek C Schuurman","","Chair","","","","2024-11-09T13:32:06-05:00"
"",,"",,,,, 4,"","","",,,,"","","","","","","Fernando Pasquini Santos","","CCCS CRF","","","","2025-04-10T10:06:50-04:00"
"Computer Science",FA,"*",*,*,,0, 0,"*
*
*","MTWTHF
MWF
TTH","4:00PM - 6:15PM
10:30AM - 10:50AM
9:50AM - 10:10AM",,,Full,"*
*
*","

","4:00 PM
10:30 AM
9:50 AM","135
20
20","6:15 PM
10:50 AM
10:10 AM","","*","Active","LEC","","","","2022-06-13T13:09:39-04:00"
"Computer Science",SP,"*",*,*,,0, 0,"*
*
*","MTWTHF
MWF
TTH","4:00PM - 6:15PM
10:30AM - 10:50AM
9:50AM - 10:10AM",,,Full,"*
*
*","

","4:00 PM
10:30 AM
9:50 AM","135
20
20","6:15 PM
10:50 AM
10:10 AM","","*","Active","LEC","","","","2022-06-13T13:09:39-04:00"
"Computer Science",FA,"CS",100,A,100,4, 4,"SB 354","TTH","10:20AM - 12:00PM",,,Full,"SB","354","10:20 AM","100","12:00 PM","Creating Interactive Web Media","David Meyer","Active","LEC","","","","2022-06-14T13:37:57-04:00"
"Computer Science",FA,"CS",104,A,100,1, 2,"SB 372","MWF","12:15PM - 1:20PM",,,First,"SB","372","12:15 PM","65","1:20 PM","Applied Computing","Keith VanderLinden","","","","","","2024-11-12T09:21:04-05:00"
"Computer Science",FA,"CS",104,B,100,1, 2,"SB 372","MWF","12:15PM - 1:20PM",,,Second,"SB","372","12:15 PM","65","1:20 PM","Applied Computing","Keith VanderLinden","","","","","","2024-11-27T13:24:37-05:00"
"Computer Science",FA,"CS",104L,A,100,1, 0.5,"SB 372","T","12:15PM - 1:55PM",,,First,"SB","372","12:15 PM","100","1:55 PM","Applied Computing","Christopher Wieringa","","","","","","2024-11-11T18:57:58-05:00"
"Computer Science",FA,"CS",104L,B,100,1, 0.5,"SB 372","T","2:10PM - 3:50PM",,,First,"SB","372","2:10 PM","100","3:50 PM","Applied Computing","Fernando Pasquini Santos","","","","","","2024-11-12T16:58:00-05:00"
"Computer Science",FA,"CS",104L,C,100,1, 0.5,"SB 372","T","12:15PM - 1:55PM",,,Second,"SB","372","12:15 PM","100","1:55 PM","Applied Computing","Christopher Wieringa","","","","","","2024-11-11T18:59:34-05:00"
"Computer Science",FA,"CS",104L,D,100,1, 0.5,"SB 372","T","2:10PM - 3:50PM",,,Second,"SB","372","2:10 PM","100","3:50 PM","Applied Computing","Fernando Pasquini Santos","","","","","","2024-11-12T16:58:14-05:00"
"Computer Science",FA,"CS",106,A,100,3, 4,"SB 372","MWF","2:45PM - 3:50PM",,,Full,"SB","372","2:45 PM","65","3:50 PM","Intro to Computing","Kenneth C Arnold","","","","","","2025-02-04T14:19:55-05:00"
"Computer Science",FA,"CS",106L,A,100,1, 1,"SB 372","TH","10:20AM - 12:00PM",,,Full,"SB","372","10:20 AM","100","12:00 PM","Intro to Computing Lab","Kenneth C Arnold","","","","","","2025-02-04T14:20:13-05:00"
"Computer Science",FA,"CS",108,A,100,3, 4,"SB 372","MWF","11:00AM - 12:05PM",,,Full,"SB","372","11:00 AM","65","12:05 PM","Intro to Computing","Rocky Chang","","","","","","2025-02-04T14:20:37-05:00"
"Computer Science",SP,"CS",108,A,100,3, 4,"SB 382","MWF","1:30PM - 2:35PM",,,Full,"SB","382","1:30 PM","65","2:35 PM","Intro to Computing","Kenneth C Arnold","","","","","","2025-02-04T14:25:21-05:00"
"Computer Science",FA,"CS",108,B,100,3, 4,"SB 372","MWF","1:30PM - 2:35PM",,,Full,"SB","372","1:30 PM","65","2:35 PM","Intro to Computing Lab","Rocky Chang","","","","","","2025-02-04T14:20:46-05:00"
"Computer Science",SP,"CS",108,B,100,3, 4,"SB 382","MWF","2:45PM - 3:50PM",,,Full,"SB","382","2:45 PM","65","3:50 PM","Intro to Computing","Fernando Pasquini Santos","","","","","","2024-10-03T11:39:38-04:00"
"Computer Science",FA,"CS",108L,A,100,1, 1,"SB 372","TH","8:00AM - 9:40AM",,,Full,"SB","372","8:00 AM","100","9:40 AM","Intro to Computing Lab","Rocky Chang","","","","","","2025-02-04T14:21:21-05:00"
"Computer Science",SP,"CS",108L,A,100,1, 1,"SB 372","TH","8:00AM - 9:40AM",,,Full,"SB","372","8:00 AM","100","9:40 AM","Intro to Computing Lab","Kenneth C Arnold","","","","","","2025-02-04T14:25:30-05:00"
"Computer Science",FA,"CS",108L,B,100,1, 1,"SB 372","TH","12:15PM - 1:55PM",,,Full,"SB","372","12:15 PM","100","1:55 PM","Intro to Computing Lab","Rocky Chang","","","","","","2025-02-04T14:21:33-05:00"
"Computer Science",SP,"CS",108L,B,100,1, 1,"SB 372","TH","10:20AM - 12:00PM",,,Full,"SB","372","10:20 AM","100","12:00 PM","Intro to Computing Lab","Fernando Pasquini Santos","","","","","","2024-10-26T12:10:00-04:00"
"Computer Science",FA,"CS",112,A,100,3, 4,"SB 382","MWF","12:15PM - 1:20PM",,,Full,"SB","382","12:15 PM","65","1:20 PM","Intro to Data Structures","Eric Araujo","","","","","","2025-02-04T14:45:21-05:00"
"Computer Science",SP,"CS",112,A,100,3, 4,"SB 372","MWF","11:00AM - 12:05PM",,,Full,"SB","372","11:00 AM","65","12:05 PM","Intro to Data Structures","Victor T. Norman","","","","","","2024-11-07T15:00:56-05:00"
"Computer Science",FA,"CS",112,B,100,3, 4,"SB 382","MWF","1:30PM - 2:35PM",,,Full,"SB","382","1:30 PM","65","2:35 PM","Intro to Data Structures","Eric Araujo","","","","","","2025-02-04T14:45:11-05:00"
"Computer Science",SP,"CS",112,B,100,3, 4,"SB 372","MWF","12:15PM - 1:20PM",,,Full,"SB","372","12:15 PM","65","1:20 PM","Intro to Data Structures","Victor T. Norman","","","","","","2024-11-07T14:38:48-05:00"
"Computer Science",FA,"CS",112L,A,100,1, 1,"SB 372","T","8:00AM - 9:40AM",,,Full,"SB","372","8:00 AM","100","9:40 AM","Intro to Data Structures Lab","Christopher Wieringa","","","","","","2024-11-09T13:41:39-05:00"
"Computer Science",SP,"CS",112L,A,100,1, 1,"SB 372","T","8:00AM - 9:40AM",,,Full,"SB","372","8:00 AM","100","9:40 AM","Intro to Data Structures Lab","Eric Araujo","","","","","","2024-01-15T17:33:05-05:00"
