Term,Section Name,Stu Cred,Fac Load,Room,Days,Meeting Time,Short Title,Faculty
20/SP,"MATH-100-A",3.00,3.00,"NH 251","MWF","12:30PM - 1:20PM","Math in the Contemporary World","James Turner"
19/FA,"MATH-100-CPI",3.00,3.00,"","","","Math in the Contemporary World","Thomas Jager"
20/SP,"MATH-132-A",4.00,4.00,"NH 259","MWTHF","1:30PM - 2:20PM","Calc for Mgt, Life, & Soc Sci","Michael Bolt"
19/FA,"MATH-169-A",4.00,4.00,"NH 259","MTWF","9:00AM - 9:50AM","Calculus & Elem Functions I","John Ferdinands"
20/IN,"MATH-170-A",3.00,3.00,"NH 276","MTWTHF","8:30AM - 5:00PM","Calculus & Elem Functions II","John Ferdinands"
20/SP,"MATH-171-A",4.00,4.00,"NH 276","MTWF","11:30AM - 12:20PM","Calculus I","Nathan Sunukjian"
19/FA,"MATH-171-A",4.00,4.00,"NH 276","MTWF","10:30AM - 11:20AM","Calculus I","Michael Bolt"
19/FA,"MATH-171-B",4.00,4.00,"NH 276","MTWF","11:30AM - 12:20PM","Calculus I","Michael Bolt"
19/FA,"MATH-171-C",4.00,4.00,"NH 295","MTWF","12:30PM - 1:20PM","Calculus I","Christopher Moseley"
19/FA,"MATH-171-D",4.00,4.00,"NH 259","MTWF","2:30PM - 3:20PM","Calculus I","Christopher Moseley"
20/SP,"MATH-172-A",4.00,4.00,"NH 251","MTWF","10:30AM - 11:20AM","Calculus II","John Ferdinands"
19/FA,"MATH-172-A",4.00,4.00,"NH 276","MTWF","2:30PM - 3:20PM","Calculus II","Nathan Sunukjian"
20/SP,"MATH-172-B",4.00,4.00,"NH 259","MWTHF","9:00AM - 9:50AM","Calculus II","Michael Bolt"
19/FA,"MATH-172-B",4.00,4.00,"NH 259","MWTHF","8:00AM - 8:50AM","Calculus II","Thomas L. Scofield"
20/SP,"MATH-172-C",4.00,4.00,"NH 276","MTWF","1:30PM - 2:20PM","Calculus II","Todd Kapitula"
19/FA,"MATH-190-A",1.00,1.00,"NH 276","W","3:30PM - 5:00PM","First-year Seminar in Math","Thomas L. Scofield
Todd Kapitula"
19/FA,"MATH-221-A",4.00,4.00,"NH 251","MTTHF","1:30PM - 2:20PM","Real Nbr Sys/Meth for Elem Sch","David Klanderman"
20/SP,"MATH-221-A",4.00,4.00,"NH 251","MTTHF","1:30PM - 2:20PM","Real Nbr Sys/Meth for Elem Sch","David Klanderman"
19/FA,"MATH-222-A",4.00,4.00,"NH 251","MTTHF","2:30PM - 3:20PM","Geometry/Meth for Elem Sch","David Klanderman"
20/SP,"MATH-222-A",4.00,4.00,"NH 251","MTTHF","2:30PM - 3:20PM","Geometry/Meth for Elem Sch","Gary Talsma"
19/FA,"MATH-231-A",4.00,4.00,"NH 295","MWTHF","2:30PM - 3:20PM","Diff Equ With Linear Algebra","Todd Kapitula"
20/SP,"MATH-231-A",4.00,4.00,"NH 276","MWTHF","8:00AM - 8:50AM","Diff Equ With Linear Algebra","Thomas L. Scofield"
20/SP,"MATH-231-B",4.00,4.00,"NH 064","MTWF","9:00AM - 9:50AM","Diff Equ With Linear Algebra","Todd Kapitula"
20/SP,"MATH-231-C",4.00,4.00,"NH 276","MWTHF","10:30AM - 11:20AM","Diff Equ With Linear Algebra","Thomas L. Scofield"
19/FA,"MATH-251-A",3.00,3.00,"NH 259","MWF","10:30AM - 11:20AM","Discrete Mathematics","Thomas L. Scofield"
19/FA,"MATH-251-B",3.00,3.00,"NH 259","MWF","11:30AM - 12:20PM","Discrete Mathematics","Thomas L. Scofield"
20/SP,"MATH-252-A",3.00,4.00,"NH 259","MWF","11:30AM - 12:20PM","Discrete Math for Computer Sci","Randall Pruim"
20/SP,"MATH-252-B",3.00,4.00,"NH 259","MWF","12:30PM - 1:20PM","Discrete Math for Computer Sci","Randall Pruim"
20/SP,"MATH-255-A",4.00,4.00,"","","","Introductory Linear Algebra","Christopher Moseley"
