AcademicPeriod,Course,CourseSection,SectionStatus,SemesterHours,Instructors,MeetingPatterns,StartDate,EndDate,Location1,InstructionalFormat,Comments,LastModified
FA,CS 100 -  Creating Interactive Web Media,CS 100-A  -  Creating Interactive Web Media,Open,4,"David Meyer","TTH | 10:20 AM - 12:00 PM",2023/8/28,2023/12/16,"Science Building 372","Lecture","",""
FA,CS 104 -  Applied Computing,CS 104-A  -  Applied Computing,Open,1,"Fernando Pasquini Santos","MWF | 2:45 PM - 3:50 PM",2023/8/28,2023/10/21,"North Hall 064","Lecture","",""
FA,CS 104 -  Applied Computing,CS 104-B  -  Applied Computing,Waitlist,1,"Fernando Pasquini Santos","MWF | 2:45 PM - 3:50 PM",2023/10/23,2023/12/16,"North Hall 064","Lecture","",""
FA,CS 104L -  Applied Computing Lab,CS 104L-A  -  Applied Computing Lab,Open,1,"Fernando Pasquini Santos","T | 2:10 PM - 3:50 PM",2023/8/28,2023/10/21,"Science Building 354","Laboratory","",""
FA,CS 104L -  Applied Computing Lab,CS 104L-B  -  Applied Computing Lab,Waitlist,1,"Fernando Pasquini Santos","T | 2:10 PM - 3:50 PM",2023/10/23,2023/12/16,"Science Building 354","Laboratory","",""
FA,CS 104L -  Applied Computing Lab,CS 104L-C  -  Applied Computing Lab,Open,1,"Fernando Pasquini Santos","TH | 2:10 PM - 3:50 PM",2023/8/28,2023/10/21,"Science Building 354","Laboratory","",""
FA,CS 106 -  Introduction to Scientific Computation And Modeling,CS 106-A  -  Introduction to Scientific Computation And Modeling,Open,3,"Ken Arnold","MWF | 1:30 PM - 2:35 PM",2023/8/28,2023/12/16,"North Hall 253","Lecture","",""
FA,CS 106L -  Introduction to Scientific Computation And Modeling Lab,CS 106L-A  -  Introduction to Scientific Computation And Modeling Lab,Open,1,"Chris Wieringa","TH | 12:15 PM - 1:55 PM",2023/8/28,2023/12/16,"Science Building 354","Laboratory","",""
FA,CS 108 -  Introduction to Computing,CS 108-A  -  Introduction to Computing,Waitlist,3,"Rocky Chang ï¼å¼µèå·ï¼","MWF | 11:00 AM - 12:05 PM",2023/8/28,2023/12/16,"North Hall 253","Lecture","",""
SP,CS 108 -  Introduction to Computing,CS 108-A  -  Introduction to Computing,Open,3,"Fernando Pasquini Santos","MWF | 8:00 AM - 9:05 AM",2024/1/16,2024/5/4,"North Hall 253","Lecture","",""
FA,CS 108 -  Introduction to Computing,CS 108-B  -  Introduction to Computing,Open,3,"Rocky Chang ï¼å¼µèå·ï¼","MWF | 12:15 PM - 1:20 PM",2023/8/28,2023/12/16,"North Hall 253","Lecture","",""
SP,CS 108 -  Introduction to Computing,CS 108-B  -  Introduction to Computing,Open,3,"Rocky Chang ï¼å¼µèå·ï¼","MWF | 9:15 AM - 10:20 AM",2024/1/16,2024/5/4,"North Hall 253","Lecture","",""
FA,CS 108L -  Intro to Computing Lab,CS 108L-A  -  Intro to Computing Lab,Open,1,"Rocky Chang ï¼å¼µèå·ï¼","TH | 8:00 AM - 9:40 AM",2023/8/28,2023/12/16,"Science Building 354","Laboratory","",""
SP,CS 108L -  Intro to Computing Lab,CS 108L-A  -  Intro to Computing Lab,Open,1,"Fernando Pasquini Santos","TH | 8:00 AM - 9:40 AM",2024/1/16,2024/5/4,"Science Building 354","Laboratory","",""
FA,CS 108L -  Intro to Computing Lab,CS 108L-B  -  Intro to Computing Lab,Open,1,"Rocky Chang ï¼å¼µèå·ï¼","TH | 10:20 AM - 12:00 PM",2023/8/28,2023/12/16,"Science Building 354","Laboratory","",""
SP,CS 108L -  Intro to Computing Lab,CS 108L-B  -  Intro to Computing Lab,Open,1,"Rocky Chang ï¼å¼µèå·ï¼","TH | 10:20 AM - 12:00 PM",2024/1/16,2024/5/4,"Science Building 354","Laboratory","",""
FA,CS 112 -  Introduction to Data Structures,CS 112-A  -  Introduction to Data Structures,Open,3,"Victor Norman","MWF | 11:00 AM - 12:05 PM",2023/8/28,2023/12/16,"Science Building 382","Lecture","",""
SP,CS 112 -  Introduction to Data Structures,CS 112-A  -  Introduction to Data Structures,Open,3,"Victor Norman","MWF | 11:00 AM - 12:05 PM",2024/1/16,2024/5/4,"North Hall 064","Lecture","",""
FA,CS 112 -  Introduction to Data Structures,CS 112-B  -  Introduction to Data Structures,Open,3,"Victor Norman","MWF | 12:15 PM - 1:20 PM",2023/8/28,2023/12/16,"Science Building 382","Lecture","",""
SP,CS 112 -  Introduction to Data Structures,CS 112-B  -  Introduction to Data Structures,Open,3,"Victor Norman","MWF | 12:15 PM - 1:20 PM",2024/1/16,2024/5/4,"Science Building 343","Lecture","",""
FA,CS 112L -  Intro to Data Structures Lab,CS 112L-A  -  Intro to Data Structures Lab,Open,1,"Chris Wieringa","T | 8:00 AM - 9:40 AM",2023/8/28,2023/12/16,"Science Building 354","Laboratory","",""
SP,CS 112L -  Intro to Data Structures Lab,CS 112L-A  -  Intro to Data Structures Lab,Open,1,"Chris Wieringa","T | 8:00 AM - 9:40 AM",2024/1/16,2024/5/4,"Science Building 354","Laboratory","",""
FA,CS 112L -  Intro to Data Structures Lab,CS 112L-B  -  Intro to Data Structures Lab,Open,1,"Chris Wieringa","T | 10:20 AM - 12:00 PM",2023/8/28,2023/12/16,"Science Building 354","Laboratory","",""
SP,CS 112L -  Intro to Data Structures Lab,CS 112L-B  -  Intro to Data Structures Lab,Open,1,"Chris Wieringa","T | 10:20 AM - 12:00 PM",2024/1/16,2024/5/4,"Science Building 354","Laboratory","",""
FA,CS 195 -  Introductory Computing Seminar,CS 195-A  -  Introductory Computing Seminar,Waitlist,0,"Harry Plantinga","T | 3:05 PM - 3:55 PM",2023/8/28,2023/12/16,"Science Building 010","Seminar","",""
SP,CS 195 -  Introductory Computing Seminar,CS 195-A  -  Introductory Computing Seminar,Open,0,"Harry Plantinga","T | 3:05 PM - 3:55 PM",2024/1/16,2024/5/4,"Science Building 010","Seminar","",""
FA,CS 212 -  Data Structures and Algorithms,CS 212-A  -  Data Structures and Algorithms,Open,4,"Harry Plantinga","MWF | 8:00 AM - 9:05 AM",2023/8/28,2023/12/16,"North Hall 064","Lecture","",""
FA,CS 212 -  Data Structures and Algorithms,CS 212-B  -  Data Structures and Algorithms,Open,4,"Harry Plantinga","MWF | 9:15 AM - 10:20 AM",2023/8/28,2023/12/16,"North Hall 064","Lecture","",""
SP,CS 214 -  Programming Language Concepts,CS 214-A  -  Programming Language Concepts,Waitlist,4,"David Meyer","F | 2:45 PM - 5:05 PM
MW | 2:45 PM - 3:50 PM",2024/1/16,2024/5/4,"Science Building 343","Lecture","",""
SP,CS 214 -  Programming Language Concepts,CS 214-B  -  Programming Language Concepts,Open,4,"David Meyer","F | 2:45 PM - 5:05 PM
MW | 4:00 PM - 5:05 PM",2024/1/16,2024/5/4,"Science Building 343","Lecture","",""
SP,CS 232 -  Operating Systems and Networking,CS 232-A  -  Operating Systems and Networking,Open,4,"Victor Norman","MWF | 8:00 AM - 9:05 AM",2024/1/16,2024/5/4,"Hiemenga Hall 336","Lecture","",""
SP,CS 232 -  Operating Systems and Networking,CS 232-B  -  Operating Systems and Networking,Open,4,"Victor Norman","MWF | 9:15 AM - 10:20 AM",2024/1/16,2024/5/4,"Hiemenga Hall 336","Lecture","",""
FA,CS 262 -  Software Engineering,CS 262-A  -  Software Engineering,Open,4,"Keith Vander Linden","F | 1:30 PM - 3:50 PM
MWF | 1:30 PM - 2:35 PM",2023/8/28,2023/12/16,"Science Building 354","Lecture","",""
FA,CS 262 -  Software Engineering,CS 262-B  -  Software Engineering,Open,4,"Keith Vander Linden","F | 1:30 PM - 3:50 PM
MWF | 2:45 PM - 3:50 PM",2023/8/28,2023/12/16,"Science Building 372","Lecture","",""
FA,CS 295 -  Computing Seminar,CS 295-A  -  Computing Seminar,Open,0,"Harry Plantinga","T | 3:05 PM - 3:55 PM",2023/8/28,2023/12/16,"Science Building 010","Seminar","",""
SP,CS 295 -  Computing Seminar,CS 295-A  -  Computing Seminar,Open,0,"Harry Plantinga","T | 3:05 PM - 3:55 PM",2024/1/16,2024/5/4,"Science Building 382","Seminar","",""
FA,CS 332 -  Advanced Computer Networks,CS 332-A  -  Advanced Computer Networks,Open,2,"Victor Norman","MWF | 9:15 AM - 10:20 AM",2023/8/28,2023/10/21,"Science Building 354","Lecture","",""
SP,CS 338 -  System Administration: Infrastructure,CS 338-A  -  System Administration: Infrastructure,Open,2,"Chris Wieringa","MWF | 8:00 AM - 9:05 AM",2024/1/15,2024/3/9,"Science Building 354","Lecture","",""
SP,CS 339 -  System Administration: Cloud Services,CS 339-A  -  System Administration: Cloud Services,Open,2,"Chris Wieringa","MWF | 8:00 AM - 9:05 AM",2024/3/11,2024/5/4,"Science Building 354","Lecture","",""
SP,CS 354 -  Database Management Systems,CS 354-A  -  Database Management Systems,Open,2,"Patrick Bailey","TTH | 8:00 AM - 9:40 AM",2024/3/11,2024/5/4,"Science Building 382","Lecture","",""
