duration,days,startTime
65,MWF,8:00 AM
65,MWF,9:15 AM
65,MWF,11:00 AM
65,MWF,12:15 PM
65,MWF,1:30 PM
65,MWF,2:45 PM
65,MTR,6:30 PM
65,MTR,7:45 PM
100,TR,8:00 AM
100,TR,10:20 AM
100,TR,12:15 PM
100,TR,2:10 PM
100,MR,6:30 PM
100,TR,6:30 PM
210,M,6:30 PM
210,T,6:30 PM
210,R,6:30 PM
100,M,6:30 PM
100,T,6:30 PM
100,R,6:30 PM
100,M,8:20 PM
100,T,8:20 PM
100,R,8:20 PM
50,MW,8:00 AM
50,MW,9:15 AM
50,MW,11:00 AM
50,MW,12:15 PM
50,MW,1:30 PM
50,MW,2:45 PM
50,TR,8:00 AM
50,TR,8:55 AM
50,TR,10:20 AM
50,TR,11:15 AM
50,TR,12:15 PM
50,TR,1:10 PM
50,TR,2:10 PM
50,TR,3:05 PM
50,TR,6:30 PM
50,TR,7:30 PM
50,TR,8:30 PM
50,MR,6:30 PM
50,MR,7:30 PM
50,MR,8:30 PM
120,MWF,8:20 AM
120,MWF,11:00 AM
120,MWF,1:30 PM
120,MWF,6:30 PM
180,MW,8:00 AM
180,MW,12:30 PM
180,MW,6:30 PM
180,TR,8:00 AM
180,TR,12:30 PM
180,TR,6:30 PM
170,M,8:00 AM
170,M,11:15 AM
170,M,2:30 PM
170,M,6:30 PM
170,T,8:00 AM
170,T,11:15 AM
170,T,2:30 PM
170,T,6:30 PM
170,W,8:00 AM
170,W,11:15 AM
170,W,2:30 PM
170,W,6:30 PM
170,R,8:00 AM
170,R,11:15 AM
170,R,2:30 PM
170,R,6:30 PM
170,F,8:00 AM
170,F,11:15 AM
170,F,2:30 PM
80,M,8:00 AM
80,M,9:30 AM
80,M,11:00 AM
80,M,1:00 PM
80,M,2:30 PM
80,M,4:00 PM
80,T,8:00 AM
80,T,9:30 AM
80,T,11:00 AM
80,T,1:00 PM
80,T,2:30 PM
80,T,4:00 PM
80,W,8:00 AM
80,W,9:30 AM
80,W,11:00 AM
80,W,1:00 PM
80,W,2:30 PM
80,W,4:00 PM
80,R,8:00 AM
80,R,9:30 AM
80,R,11:00 AM
80,R,1:00 PM
80,R,2:30 PM
80,R,4:00 PM
80,F,8:00 AM
80,F,9:30 AM
80,F,11:00 AM
80,F,1:00 PM
80,F,2:30 PM
80,F,4:00 PM
65,TWR,4:00 PM
60,MWF,4:00 PM
75,TWR,5:15 PM
60,MW,5:15 PM
60,R,5:30 PM
60,TR,5:30 PM
60,MW,7:00 PM
120,R,7:00 PM
120,M,7:30 PM
